date,Unemployment_Rate,Annual_Change
12/31/1991,6.8,0
12/31/1992,7.5,0.7
12/31/1993,6.9,-0.6
12/31/1994,6.12,-0.78
12/31/1995,5.65,-0.47
12/31/1996,5.45,-0.2
12/31/1997,5,-0.45
12/31/1998,4.51,-0.49
12/31/1999,4.22,-0.29
12/31/2000,3.99,-0.23
12/31/2001,4.73,0.74
12/31/2002,5.78,1.05
12/31/2003,5.99,0.21
12/31/2004,5.53,-0.46
12/31/2005,5.08,-0.45
12/31/2006,4.62,-0.46
12/31/2007,4.62,0
12/31/2008,5.78,1.16
12/31/2009,9.25,3.47
12/31/2010,9.63,0.38
12/31/2011,8.95,-0.68
12/31/2012,8.07,-0.88
12/31/2013,7.37,-0.7
12/31/2014,6.17,-1.2
12/31/2015,5.28,-0.89
12/31/2016,4.87,-0.41
12/31/2017,4.36,-0.51
12/31/2018,3.9,-0.46
12/31/2019,3.67,-0.23
12/31/2020,8.05,4.38
12/31/2021,5.35,-2.7
12/31/2022,3.611,-1.74
